marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,36505758,R11YLZ4SAU3D22,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,1,0,0,N,Y,Wrong sizing.,Not sized right.,2015-08-31
US,19162247,R2KE5QYW0QQNFW,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,4,0,0,N,Y,Good Shoes,I love Tom shoes. I had a foot crushed completely and this foot hurts most days esp. after walking a lot. I can't wear sandals or flip flops but I wanted a cute shoe for the summer that would not be hot. These shoe is great. They are a bit larger than my other Toms. I put an insole in them and they fit beautifully now. I can walk a good bit without discomfort from my injury.,2015-06-29
US,19071149,R3JHLRCRY5ENB5,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,I forgot how much I love Toms. They are tight at first but streach ...,I forgot how much I love Toms. They are tight at first but streach out comforatably. I bought these and wore them all day the first day and didn't have any blisters or sore spots and my feet were not tired from walking all day.,2015-06-23
US,35062430,R37NI9LTVWPHKC,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,When my wife tried them she loved them. Overall great comfortable walking shoes,Delivered fast. When my wife tried them she loved them. Overall great comfortable walking shoes.,2015-06-03
US,7993296,R3STWJ7PNQYA9V,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,3,0,0,N,Y,size issue,i did a research online & decided to buy US 5 number for me but when it got delivered it was too small in size. Did not fit at all.,2015-03-17
US,1961609,R22PRZ4DJM7DFY,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,4,0,0,N,Y,Four Stars,I gave this shoes to my little sister... they didn't fit as expected and I'm from Venezuela<br />..,2014-10-22
US,5279045,R3FTGXXSB4I7TA,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,Five Stars,good,2014-10-15
US,1612626,R2NEN73LFWCY1P,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,👌🙈 love it,It very good and good shoes too !!! Alsooo  i like it and fit as expect thanks so much ...,2014-06-07
US,11057113,R19BXA1CURU36L,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,So Comfortable!,I have narrow feet and wear a size 5M.  TOMS fit a little bit closer to the feet and aren't as wide as their competitor BOBS.  The leather foot bed soaks up moisture and wicks it away.  There is a bit of an arch support so they are good to walk in.  I actually walked all over Vegas with these shoes.  I've had them for about 9 months now they have held up pretty well.  I have not washed them yet (I only wear them in the summer months) so I'm not sure how it's going to do in the washing machine.,2014-02-09
US,43116996,RR95IDT52154I,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,3,4,4,N,Y,Runs small,"I really love the shoe; however, shoe sizes run about two sizes, too, small! I have to return this product :(",2013-12-26
US,7863715,RQQ1D9N7ALF8U,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,2,0,0,N,Y,Poor quality,"When I receive them, the right shoe  had a small cut. I never ever expected that from Toms! Very disappointing!",2013-10-02
US,30778257,R2VQYFFRJAP1AG,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,Very comfortables,Fit perfectly to my wife and they are very comfortable for long walks. Color is great and they look cool.,2013-09-18
US,16684500,R3DXTCYPP01Q06,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,2,0,0,N,Y,TOMS Canvias Shoes,Very expensive for cheaply made sneaker/shoes.  My daughter's last pair wore out after only four months - but she has to have them.,2013-09-15
US,2545844,R2FSE2GV9O55QI,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,Toms,"The shoes are perfect and original, only make sure in the size because is easy to get confused but still are perfect!!",2013-09-12
US,13048253,REBQ52TXCLW3R,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,3,0,0,N,Y,somewhat large,"I normally wear a 5 in womens, but this shoe I should have bought in kids' size. My heels were slipping off every time I walked.  Maybe my feet are too narrow for this shoe, and it also kind of rub on my pinky toes, making it red.",2013-08-17
US,48962076,RNLRDRNJ3GMBF,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,1,0,2,N,Y,Unhappy.,"I love the way toms look and i decided to buy my first pair on amazon being that i can find them cheaper on here then the actual website. Unfortunately they didn't fit me...I'm so bummed because i love the way they look, i trusted the fact that it said \\""true to size\\"" but they fit me way too tight! I ordered a size 5W & I'm really a size 4 1/2...I guess they're not for me!! Very disappointed :(",2013-07-11
US,36849103,R5A5IBSPF470B,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,Toms shoes are so comfortable. Fits perfect .,My shoe size is 5. The shoe is so soft inside and keeps my  feet from hurting all day.  I love Toms shoes. The size is perfect and they keep their shape for a long time.,2013-05-30
US,24986416,R2MP9RJ9JBRBYO,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,Love them!!,"These are cute, comfy, last long! :)  I can't wait to be buy them in every color! Definitely my favorite shoes",2013-03-24
US,18982263,R1W7IAZQ3765XS,B000XRB41E,532718381,TOMS Women's Classics Flat,Shoes,5,0,0,N,Y,Cute and comfortable!,It is definitely comfortable to wear and a perfect addition to any kind of clothes. I wear it to everywhere now. I would purchase another in different colors. :),2012-11-20
